Case,Prediction
case1,1
case2,1
case3,1
case4,2
case5,2
case6,5
case7,3
case8,3
case9,3
case10,5
case11,5
case12,5
case13,5
case14,5
case15,6
case16,2
case17,6
case18,5
case19,1
case20,1
case21,1
case22,5
case23,5
case24,6
case25,5
case26,5
case27,5
case28,5
case29,5
case30,6
case31,6
case32,6
case33,1
case34,1
case35,1
case36,2
case37,2
case38,4
case39,3
case40,3
case41,3
case42,4
case43,4
case44,4
case45,5
case46,5
case47,5
case48,6
case49,6
case50,6
case51,2
case52,2
case53,6
case54,1
case55,1
case56,1
case57,2
case58,2
case59,4
case60,3
case61,3
case62,2
case63,4
case64,4
case65,4
case66,5
case67,2
case68,5
case69,6
case70,6
case71,6
case72,1
case73,1
case74,1
case75,1
case76,1
case77,1
case78,4
case79,2
case80,2
case81,2
case82,2
case83,2
case84,2
case85,3
case86,2
case87,3
case88,2
case89,3
case90,4
case91,4
case92,4
case93,4
case94,4
case95,4
case96,5
case97,5
case98,5
case99,2
case100,5
